City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,novo cruzeiro,-17.4681,-41.8753,16.76,95,100,1.75,BR,1682118305
1,jamestown,42.097,-79.2353,18.62,69,0,4.12,US,1682118144
2,hamilton,39.1834,-84.5333,15.5,90,100,8.75,US,1682118028
3,constantia,44.1833,28.65,7.61,87,12,5.58,RO,1682118307
4,kingston,17.997,-76.7936,27.53,79,75,3.6,JM,1682118169
5,minas de marcona,-15.2119,-75.1103,17.62,79,28,5.5,PE,1682118308
6,faya-largeau,17.9257,19.1043,30.0,11,0,2.33,TD,1682118309
7,hawaiian paradise park,19.5933,-154.9731,27.73,81,40,6.69,US,1682118309
8,port-aux-francais,-49.35,70.2167,5.2,61,52,5.79,TF,1682118309
9,bethel,41.3712,-73.414,16.33,56,0,3.6,US,1682118310
10,hauterive,46.0901,3.4459,14.42,84,86,3.42,FR,1682118310
11,lerwick,60.1545,-1.1494,6.0,79,4,3.22,GB,1682118311
12,sai buri,6.7013,101.6168,24.84,85,100,1.53,TH,1682118311
13,kone,-21.0595,164.8658,28.55,71,11,0.92,NC,1682118311
14,adamstown,-25.066,-130.1015,24.81,81,100,9.69,PN,1682118312
15,codrington,-38.2667,141.9667,15.93,71,100,2.35,AU,1682118312
16,stanley,54.868,-1.6985,7.51,86,0,3.09,GB,1682118312
17,hermanus,-34.4187,19.2345,10.45,63,100,2.68,ZA,1682118312
18,sur,22.5667,59.5289,27.85,64,8,4.08,OM,1682118313
19,norrtalje,59.758,18.705,6.1,79,18,1.45,SE,1682118314
20,grytviken,-54.2811,-36.5092,2.2,86,100,5.03,GS,1682118314
21,atafu village,-8.5421,-172.5159,28.87,74,16,5.1,TK,1682118315
22,beneditinos,-5.45,-42.3667,26.07,77,94,1.03,BR,1682118173
23,kuta,-8.7233,115.1723,26.97,83,20,2.68,ID,1682118030
24,invercargill,-46.4,168.35,11.68,82,91,0.89,NZ,1682118315
25,sao jose da coroa grande,-8.8978,-35.1478,25.76,83,24,4.41,BR,1682118315
26,castelnaudary,43.3183,1.9545,15.94,87,93,3.13,FR,1682118316
27,qaqortoq,60.7167,-46.0333,2.99,66,97,2.38,GL,1682118316
28,sechura,-5.5569,-80.8222,26.56,76,99,4.08,PE,1682118316
29,yellowknife,62.456,-114.3525,3.29,60,75,4.12,CA,1682118316
30,anna regina,7.2644,-58.5077,25.61,86,90,3.72,GY,1682118317
31,komsomol'sk,49.0097,33.6455,7.06,90,100,3.47,UA,1682118317
32,nellore,14.4333,79.9667,27.61,87,13,4.61,IN,1682118318
33,iskateley,67.6803,53.1512,-4.81,95,100,3.44,RU,1682118318
34,lazaro cardenas,17.9583,-102.2,28.12,59,34,6.16,MX,1682118161
35,georgetown,5.4112,100.3354,27.96,93,20,1.54,MY,1682118174
36,timmins,48.4669,-81.3331,2.9,100,100,3.6,CA,1682118029
37,carutapera,-1.195,-46.02,25.49,89,10,3.23,BR,1682118319
38,utrik,11.2278,169.8474,27.06,71,100,7.09,MH,1682118319
39,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,75,75,7.0,RU,1682118320
40,nemuro,43.3236,145.575,4.4,67,27,10.99,JP,1682118320
41,yershov,51.3513,48.2766,9.95,69,98,6.02,RU,1682118320
42,puerto natales,-51.7236,-72.4875,4.0,86,44,2.84,CL,1682118321
43,road town,18.4167,-64.6167,27.05,73,20,2.06,VG,1682118321
44,albany,42.6001,-73.9662,22.23,49,27,2.68,US,1682118321
45,bredasdorp,-34.5322,20.0403,12.22,63,100,0.7,ZA,1682118322
46,margaret river,-33.95,115.0667,12.89,83,8,4.2,AU,1682118322
47,waitangi,-43.9535,-176.5597,17.12,91,100,4.02,NZ,1682118323
48,bikenibeu village,1.3673,173.1241,30.98,70,40,3.6,KI,1682118323
49,blackmans bay,-43.0167,147.3167,14.83,79,98,2.28,AU,1682118324
50,papatowai,-46.5619,169.4708,13.7,77,89,3.86,NZ,1682118324
51,beledweyne,4.7358,45.2036,29.09,60,89,7.73,SO,1682118325
52,tavda,58.0425,65.2726,5.31,89,100,0.98,RU,1682118325
53,alice springs,-23.7,133.8833,11.75,87,6,0.0,AU,1682118325
54,yanam,16.7333,82.2167,24.59,94,3,0.6,IN,1682118326
55,adrar,20.5022,-10.0711,26.35,19,98,3.69,MR,1682118326
56,talnakh,69.4865,88.3972,-5.44,84,96,4.29,RU,1682118326
57,campbell river,50.0163,-125.2446,9.69,76,100,5.14,CA,1682118029
58,vorgashor,67.5833,63.95,-6.81,97,98,2.77,RU,1682118326
59,puerto baquerizo moreno,-0.9,-89.6,28.55,79,40,4.12,EC,1682118327
60,swakopmund,-22.6833,14.5333,15.55,88,100,0.89,NA,1682118327
61,hithadhoo,-0.6,73.0833,28.7,76,81,3.89,MV,1682118189
62,muisne,0.6,-80.0333,26.52,78,83,1.87,EC,1682118327
63,puerto ayora,-0.7393,-90.3518,26.42,95,51,1.79,EC,1682118328
64,luena,-11.7833,19.9167,18.1,94,20,1.03,AO,1682118328
65,edinburgh of the seven seas,-37.0676,-12.3116,18.69,87,91,15.87,SH,1682118328
66,robore,-18.3333,-59.75,20.23,72,1,1.49,BO,1682118200
67,khanty-mansiysk,61.0042,69.0019,2.84,87,0,3.0,RU,1682118329
68,machico,32.7,-16.7667,17.78,82,75,2.06,PT,1682118329
69,ballina,-28.8667,153.5667,19.88,72,100,7.04,AU,1682118330
70,den burg,53.0542,4.7972,10.99,93,75,5.14,NL,1682118330
71,graaff-reinet,-32.2522,24.5308,10.51,56,96,0.7,ZA,1682118330
72,nay pyi taw,19.745,96.1297,26.04,72,1,1.4,MM,1682118032
73,tofol,5.3248,163.0078,30.88,70,75,5.14,FM,1682118330
74,west island,-12.1568,96.8225,26.99,78,40,7.2,CC,1682118331
75,vorkuta,67.5,64.0,-6.23,97,98,2.81,RU,1682118331
76,port alfred,-33.5906,26.891,16.43,68,100,2.42,ZA,1682118108
77,pokhara,28.2333,83.9833,18.38,28,25,3.5,NP,1682118332
78,chernyshevsk,52.5243,117.0174,-3.88,48,2,1.42,RU,1682118332
79,ribeira brava,32.65,-17.0667,17.78,74,65,1.84,PT,1682118333
80,abalak,58.1286,68.5944,3.36,84,83,2.47,RU,1682118333
81,kasempa,-13.4584,25.8338,19.37,76,100,1.56,ZM,1682118333
82,errachidia,31.9275,-4.4285,20.03,37,20,8.75,MA,1682118334
83,ilulissat,69.2167,-51.1,-0.99,80,75,0.0,GL,1682118321
84,seaside,36.6111,-121.8516,24.84,63,0,3.6,US,1682118334
85,galle,6.0367,80.217,27.57,81,44,2.61,LK,1682118335
86,port elizabeth,-33.918,25.5701,15.16,83,75,2.06,ZA,1682118335
87,vila do maio,15.1333,-23.2167,22.44,75,48,5.79,CV,1682118335
88,kalmunai,7.4167,81.8167,25.65,83,52,1.75,LK,1682118336
89,siklos,45.855,18.2975,11.58,66,0,2.06,HU,1682118336
90,labrador city,52.9463,-66.9114,3.95,70,75,3.09,CA,1682118337
91,princeton,25.5384,-80.4089,26.68,73,40,2.57,US,1682118185
92,lyubim,58.3625,40.6843,3.3,92,36,1.72,RU,1682118337
93,nieves,15.3274,120.9485,28.73,79,78,0.91,PH,1682118338
